date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 20. September 2023,Ich fahre seit 20 Jahren ausschließlich…,"Ich fahre seit 20 Jahren ausschließlich mit der DB da ich kein PKW mehr habe.Heute wurde ich von einem Zugbegleiter mit der Bundespolizei aus dem Zug „begleitet“!!!! Ich hatte ein gültiges Ticket mit Reservierung im ICE 76 nach Basel. Wie immer habe ich mich mit dem Komfortcheck angemeldet. Unglücklicherweise saß der Zugbegleiter auf meinem Platz, ich bat ihn höflich mir diesen Platz frei zugeben. Nur widerwillig stand er auf und setzte sich einen Platz weiter.Dann nahm das Unglück seinen Lauf. Er wollte meine Fahrkarte sehen - ich machte ihn darauf aufmerksam dass ich mich doch mit dem Komfort-Checkin eingeloggt hätte. Sofort wurde der Herr laut und unfreundlich und drohte mir - zwei Mitreisende gegenüber stimmten mir zu - diese wurde ebenso deftig angegangen und der Verweis aus dem Zug angedroht. Ich lasse nun einen wichtigen Teil aus - letzt endlich mussten 3 Fahrgäste mit gültiger Fahrkarte in Mannheim aussteigen!!!!! Dieser Zugbegleiter hat bei der DB als Dienstleister nichts verloren !",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Karl Friedrich Heck,DE,,
Datum der Erfahrung: 19. September 2023,Zug wäre um 14:36 gefahren und musste…,Zug wäre um 14:36 gefahren und musste 2+ Stunden warten auf den Zug und die Busse waren natürlich auch weg.Die Bewertungen sollten doch mehr als genug sagen dass sich mal etwas ändern sollte.,1 Bewertung,Bewertet mit 2 von 5 Sternen,Ocarina Rob,DE,,
Datum der Erfahrung: 20. September 2023,Hallo.,"Hallo.Ich kann verstehen, dass Züge mal ausfallen oder Verspätung haben. Was ja leider schon länger der Fall ist. Aber es kann nicht sein, dass weder Verspätung noch Ausfall angezeigt wird ( sowohl in der App als auch an der Anzeigetafel)   und stattdessen der Zugverkehr angeblich ganz normal stattfinden soll. Das kam jetzt schon viele viele Male vor und ich mir in Eile eine andere Reisemöglichkeit suchen musste was auch nicht immer eben so schnell geht. Fazit kann nicht sein ständig zu Spät zur Arbeit zu kommen.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Claudia Wanka,DE,,
Datum der Erfahrung: 07. September 2023,Die DB ist echt das letzte,"Die DB ist echt das letzte! Unfassbar teuer, keine Leistung dafür und man wird im Regen stehen gelassen.Wir haben ein Ticket von Dortmund nach Wolfsburg gekauft, ICE 1. Klasse mit Sitzplatz Reservierung.Am Ende war es die Höllenfahrt, wir haben keinen Anschluss bekommen, weil jeder Zug zu spät kam. Informationen haben wir an jedem Bahnhof nur dürftig erhalten.Die app ist das letzte; da stimmt nichts!Nie wieder!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Robin Zenner,DE,,
Datum der Erfahrung: 14. September 2023,Enttäuschung pur,"Enttäuschung pur. Durfte während Berufsschule knapp 7 Stunden warten! Dabei hieß es immer knapp vor der eigentlichen Einfahrt, dass diese entfällt.Unglaublich",1 Bewertung,Bewertet mit 1 von 5 Sternen,Natalie Wiedemann,DE,,
Datum der Erfahrung: 16. September 2023,Das schlechteste Unternehmen der…,Das schlechteste Unternehmen der Welt!!!!!! Wenn man 0 Sterne geben könnte würde ich dies tun. Es ist unfassbar wieviel man für soviel Unzuverlässigkeit bezahlen muss. Und dann heißt es immer man soll auf die öffentlichen Verkehrsmittel umsteigen. Die Bahn- das letzte!!!! Jedem den es möglich ist sollte auf dieses überteuerte Verkehrsmittel verzichten!!,1 Bewertung,Bewertet mit 1 von 5 Sternen,AndiSigi Mayr,DE,,
Datum der Erfahrung: 15. September 2023,Betrug mit Deutschlandticket,"Betrug mit Deutschlandticket. Obwohl rechtzeitig gekündigt wurde, werden Mahnschreiben verschickt. Kontakt per Telefon nicht möglich, keine Antwort auf Briefe und Mails, da angeblich überlastet. Für Mahnschreiben haben sie aber anscheinend Zeit. Nie mehr Deutsche Bahn!",3 Bewertungen,Bewertet mit 1 von 5 Sternen,Stefan Spon,DE,,
Datum der Erfahrung: 14. September 2023,Unzuverlässigkeit auf Hohem Niveau!,"Ticket Wurde in weiser Voraussicht gebucht, heute kam die Email das der komplette ZUG ausfällt und es wird einem Keine alternative geboten. Zumal man Termin und Arbeitstechnisch eh Schon stark gebunden ist.Was macht die Die Deutsche Bahn? Nichts, Stornierung des Auftrages erfolgte ohne Einverständnis meinerseits. Wenn ich so unzuverlässig Arbeiten würde wie es Unser Monopol Betrieb tut wäre ich meine Jobs 100 mal bereits los. Verbesserungsbedarf auf ganzer Linie. Von Pünktlichkeit bis hin zu der Taktung der Züge.Ich danke recht herzlich für eure Unzuverlässigkeit als Grünes unternehmen, denn dadurch werde ich jetzt expliziter nach Flügen schauen.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Swordknight,DE,,
Datum der Erfahrung: 17. September 2023,"Stress, Enttäuschung, Resignation","Es ist so traurig, dass es so wenig Möglichkeiten gibt, den Unmut über die Situation bei Reisen mit der Bahn zu äußern bzw. hier etwas zu bewirken. Zwei Fernreisen in 2 Monaten mit ICE die eigentlich nur 2 bzw. 3,5 Stunden dauern sollten. 1x mehr als 85 Minuten Verspätung, heute dann 110 (!!!!) Minuten Verspätung. Da hilft auch kein Keks oder das angebotene Wasser. Die Frustration ist groß und macht es schwer, die Reisen auch zukünftig ohne Auto zu planen.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Carla,DE,,
Datum der Erfahrung: 17. September 2023,Die DB ist einfach nur peinlich,"Die DB ist einfach nur peinlich. Ich bin durch meinen Job viel herumgekommen und nirgends in Europa, wo ich war, ist die Bahn eine derartige Katastrophe. Ich habe mein Auto verkauft und bin auf das Fahrrad und die Bahn umgestiegen, um meinen Beitrag zum Klima zu leisten. Für den Preis, die ständigen Verspätungen und die maroden Züge der Deutschen Bahn sollte ich lieber zum Auto zurückkehren oder gar fliegen. Ist ein Tick teurer, aber da muss ich nicht 9 Stunden in einem überhitzten Abteil sitzen und bin pünktlich. Ersatzleistung oder Rückerstattung sind bei ausgefallener Klimaanlage übrigens Fehlanzeige - man bekommt ein Wasser hingestellt, während draußen am Morgen bereits 23°C zunehmend sind und meine Freundin und ich noch 6 Stunden Fahrt vor uns haben. Vielleicht wäre ein großes Konkurrenzunternehmen mit eigenen Schnellzügen mal eine Option, dann wird die DB vielleicht mal gezwungen zu investieren und die Umstände zu verbessern. Es gibt an Bord noch nicht mal einen Techniker, der die Klimaanlage wieder zum Laufen bringt.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Wulverin,DE,,
