date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 11. Juni 2024,Ich gebe nur einen Stern weil ich keine…,"Ich gebe nur einen Stern weil ich keine 0 geben kann, Täglich kommen Züge verspätet an oder fallen aus, sie fahren in die falsche Richtung, weil die Schilder mit den Anweisungen nicht aktualisiert werden, ein Zug hat Verspätung, man wartet 50 Minuten auf den nächsten, weil der nächste laut DB App  in 50 Minuten ankommt, und nach 57 Minuten Wartezeit sagt man einem, dass der nächste ausfällt.ich habe gestern 4 Stunden gebracht um nach Hause zu kommen und heute Morgen 3 Stunden um zu Arbeit zu kommen, nur wegen Verspätungen ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Camila De Prez,DE,,
Datum der Erfahrung: 07. Mai 2024,Doppelter Fahrpreis,"Doppelter FahrpreisIch hatte aus Versehen für meine Fahrt mit Supersparpreis ein Ticket eine Woche später gebucht (falsches Datum geklickt). Dafür habe ich den doppelten Fahrpreis bis zu der Haltestelle, wo der Kontrolleur mein Versehen entdeckte und den weiteren Fahrpreis bis zum Zielort gezahlt, die falsch gebuchte Karte ist verfallen, so dass ich ungefähr 200€ umsonst bezahlt habe wegen der Bedingungen des Supersparpreis. Ich rief die Schlichtungsstelle an, mit der Bitte den doppelten Preis zu streichen, weil keine Betrugsabsicht vorlag. Die Schlichtungsstelle unterstützte meine Bitte aus Kulanzgründen, den zweiten Anteil des nicht zahlen zu müssen, aber die Bahn lehnt ab. Besonders abstoßend finde ich dabei, dass die Bahn tagtäglich hunderte von Fehlleistungen aufweist mit verspäteten Zügen ohne ausreichende Konsequenzen zu ziehen und ihrem Vorstand noch hohe Boni bezahlt, aber auf Fehlleistungen der Kunden äußerst konsequent reagiert. Was Zeus erlaubt ist, ist dem Ochsen noch lange nicht erlaubt.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Ulrike Mellert,DE,,
Datum der Erfahrung: 09. Juni 2024,es ist alles schiefgegangen !!,es ist alles schiefgegangen !!Zug von Erfurt nach Stuttgart  schlicht mal gestrichen. Damit die Ankunft bis 23 Uhr nicht mehr moeglich und die ganze Nacht auf einer Bank auf dem Bahnhif in Mannheim zugebracht. Weil man den frustrierten Kunden dann aber noch nicht einnal diese Bequemlichkeit goennt sind due Sitze durch Eisengitter getrennt.Fakt ust und dies muessen wir uns leider eingestehen: Es gibt keinen geregelten Personalverkehr mehr auf der Schiene. Wer also berufliche Verpflichtungen hat und Zeitschienen einhalten muss ist auf OKW und Flieger angewiesen.Fuer mich die letzte Bahnfahrt zunaechst erstmal fuer die naechsten Jahre. Die Bahncard werde ich nicht mehr beantragen,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Thorsten Kühn,DE,,
Datum der Erfahrung: 08. Juni 2024,Wir hatten ein Rückfahrtticket von Kassel nach Lengede/Broistedt…,"Wir hatten ein Rückfahrtticket von Kassel nach Lengede Broistedt  für 9 Personen planmäßigen Abfahrt 21:36 Uhr . Verspätung von 35 min. wegen "" warten auf Anschlussreisender"". Durch diese Verspätung schaffen wir unseren Anschlussmöglichkeiten von Hildesheim nach Broistedt nicht. Dieser ist übrigens der letzte. Antwort von der Bahn Hotline: Wenn Sie in Hildesheim stranden, zahlt die Bahn Ihnen pro Person 120 Euro fürs Hotel oder ein Taxi, wobei der Taxifahrer die Rechnung auf 9 Personen aufteilen muss. Und alle müssen es einzeln bei der Bahn einreichen . Wie bitte?Und jetzt aber auch was positives...Der nette Zugbegleiter wusste dann doch, wie es total unkompliziert geht. Wir bekamen Gutscheine für die Taxen und mussten nichts bezahlen.  Was mich am Anfang richtig ärgerte, hat die schnelle und unkomplizierte Lösung dann wieder gut gemacht.  ",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Heike,DE,,
Datum der Erfahrung: 11. Juni 2024,ES KANN NICHT SEIN,"ES KANN NICHT SEIN, seid drei Stunden sitzen wir hier und haben Schüler dabei mit gesundheitlichen Problemen die dringend ihre Medikamente brauchen!!!!!!!!!!!!!!!!!!!! ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Hanna SCHUBERT,DE,,
Datum der Erfahrung: 09. Juni 2024,Defektes Stellwerk,"Defektes Stellwerk. Mal wieder. Stundenlang keine Informationen, wie es nun weiter gehen soll. Nichts. Und das nicht mitten im Nirgendwo. Verkehrswende mit dem Schrottladen wirklich undenkbar. Gehe mir jetzt ein Auto kaufen. ",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Zeus Gott,DE,,
Datum der Erfahrung: 06. Juni 2024,no go Nochmal mit DB-eher unwahrscheinlich ,"Letztes Jahr schon ein no go! Unseren Zug von Bonn nach Bayern gab es nicht mehr. Mussten mit einer 83 jährigen 3 mal umsteigen,  keine Sitzplatz Reservierung mehr, saßen teils in verschiedenen Abteilen. Unmöglich... Dieses Jahr, im März gebucht - schon 4 Umbuchungen/ Änderungen seitens DB... Nochmal mit der DB? Sehr fraglich!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Natur Freund,DE,,
Datum der Erfahrung: 07. Juni 2024,Wer so dumm und unzuverlässig ist,"Wer so dumm und unzuverlässig ist, dessen Dienste sollte man eigentlich nicht in Anspruch nehmen. Nur weil ich aus persönlichen Gründen dazu gezwungen bin mache ich es trotzdem.Kann man hier auch negative Punkte vergeben :-)))",1 Bewertung,Bewertet mit 1 von 5 Sternen,Christian Lemke,DE,,
Datum der Erfahrung: 07. Juni 2024,Unerträglich schlecht,Leider ist die Unzuverlässigkeit der Deutschen Bahn und ihr Management nun unerträglich.Ich würde gerne Bahn fahren. Doch die Bahn lässt es selbst nicht zu. Es fährt fast nichts pünktlich.Das Management kassiert Millionenabfindungen und hat vermeintlich fragwürdige Verbindungen in die Politik.So MUSS ich Auto fahren. Kein Arbeitgeber will Unpünktlichkeit,1 Bewertung,Bewertet mit 1 von 5 Sternen,Alexander Niemand,DE,,
Datum der Erfahrung: 10. Juni 2024,Flug verpasst dank Deutscher Bahn,"Flug verpasst dank Deutscher Bahn. Dank einer fast 2h andauernden Signalstörung, durfte ich 140 für ein neues Flugticket zahlen und als Bonus bin ich erst fast 20h später in Madrid als geplant ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Malenlhewig,DE,,
