date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 14. September 2023,Unzuverlässigkeit auf Hohem Niveau!,"Ticket Wurde in weiser Voraussicht gebucht, heute kam die Email das der komplette ZUG ausfällt und es wird einem Keine alternative geboten. Zumal man Termin und Arbeitstechnisch eh Schon stark gebunden ist.Was macht die Die Deutsche Bahn? Nichts, Stornierung des Auftrages erfolgte ohne Einverständnis meinerseits. Wenn ich so unzuverlässig Arbeiten würde wie es Unser Monopol Betrieb tut wäre ich meine Jobs 100 mal bereits los. Verbesserungsbedarf auf ganzer Linie. Von Pünktlichkeit bis hin zu der Taktung der Züge.Ich danke recht herzlich für eure Unzuverlässigkeit als Grünes unternehmen, denn dadurch werde ich jetzt expliziter nach Flügen schauen.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Swordknight,DE,,
Datum der Erfahrung: 11. September 2023,Pünktlichkeit lässt zu wünschen über,"Pünktlichkeit lässt zu wünschen über. Überfüllte Züge....Teure Tickets. Ständig Schienenersatzverkehr.....Eine  Zugstation mit dem Express von Luth. Eisleben nach Röblingen kostet 4.60 Euro!!!! Je kürzer die Strecke je teurer? Die ganze Fahrt bis von Lutherstadt Eisleben bis Halle kostet 6.60 Euro. Völlig schräg.....und das Hopperticket können ja nur Leute nutzen, die Bürgergeld empfangen oder frei haben....warum muss das denn zeitlich eingeschränkt sein. Arschtritt an die arbeitende Bevölkerung.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Nina Caitlin,DE,,
Datum der Erfahrung: 04. September 2023,Insgesamt schlecht,"Auch wenn das wahrscheinlich niemand der Entscheidungsträger der DB zur Kenntnis nimmt, unsere  Reise von Leipzig nach München und zurück waren eine Katastrophe. Bahnausfall, Verspätung, fast Flug verpasst!!Platzreservierungen ungültig.Es wird immer schlechter.Wir fahren wieder Auto, denn diesen Stress will sich niemand antun.",3 Bewertungen,Bewertet mit 1 von 5 Sternen,Frank Pöhler,DE,,
Datum der Erfahrung: 12. September 2023,Unzuverlässig,"Verspätungen bei der deutschen bahn sind nichts neues… spontane ausfälle sorgen allerdings zusätzlich dafür, dass Menschen das Vertrauen immer weiter verlieren. Dazu kommen die viel zu hohen Preise, es sei denn man bucht 1 Jahr vorher ohne Stornierungsmöglichkeit🥰🥰",1 Bewertung,Bewertet mit 1 von 5 Sternen,Consumer,DE,,
Datum der Erfahrung: 11. September 2023,"Alles sche¡sse,.personal unfreundlich","Alles sche¡sse,.personal unfreundlich, Heute ersten schultag und komme zu spät (obwohl ich eine halbe stunde früher losgegamgen bin) Weil 4 bahnen hintereinander ausfallen. AM ERSTEN SCHULTAG KOMME ICH ZUBSPÄT WEGEN EUCH WICHSERN UND MUSS JZ WARSCHEINLICH ERSTE REIHE SITZEN",1 Bewertung,Bewertet mit 1 von 5 Sternen,Julia klee,DE,,
Datum der Erfahrung: 13. September 2023,Der größte ÖPNV-Konzern Deutschlands hat keinen Kunden-Support,"Man braucht Hilfe weil man das Azubiticket kündigen will, man schreibt dem Support, was bekommt man? Eine automatische Mail zum Thema Deutschlandticket. Was soll ich mit Infos, die nichts mit meinem Thema zu tun haben?? Man schreibt also eine weitere Mail, um doch noch irgendwie klar zu kommen, was bekommt man? Nichts mehr! Warum zur Hölle gibts bei einem so großen Konzern wie der Deutschen Bahn keinen Kundensupport???",1 Bewertung,Bewertet mit 1 von 5 Sternen,Eye Yen,DE,,
Datum der Erfahrung: 10. September 2023,Ich stand heute am Bahnhof von Neustadt Hbf nach Mannheim Hbf,Ich stand heute am Bahnhof und von Neustadt nach Mannheim Hauptbahnhof mit der Linie S2 zu fahren. Lautet waren zwei Züge zuvor ausgefallen da ein notarzteinsatz auf der Strecke bestand. Die Bahn hat keinen schienenersatzverkehr gestellt das will ich nicht in Ordnung doppelt so thank you for travelers bis Deutsche Bahn. Die Bahn nimmt nur aber sie gibt nichts ein gutes Unternehmen für die Fahrgäste darzustellen. Erschreckend finde ich hierzu dass sie Deutsche Bahn mit Sicherheit seine negativen Bewertungen bewusst ist und dies nichts kümmert.,3 Bewertungen,Bewertet mit 1 von 5 Sternen,Fischrr,DE,,
Datum der Erfahrung: 01. Juli 2023,Deutschland ticket,"3 mal in einem monat abgebucht fürs Deutschlandticket, seit Juli. Es geht keine am Telefon dran bis vor kurzem, jetzt geht der anruf nicht mehr. Mehrmals emails geschrieben, ein brief per post geschickt, es kommt einfach keine Rückmeldung. Ich hatte the Lastschrift wiedergerufen, jetzt bekomme ich nach jeder 2 wochen ein Zahlungserinnerung + mannung. Dats ist echt schxxßx.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Mohamed Sow,DE,,
Datum der Erfahrung: 11. September 2023,ZEIT DES MENSCHEN IST KOSTBAR !,REINSTE katastrophe !! Wer sich auf die Deutsche Bahn verlässt IST VERLASSEN !! Von Organisation bis hin zur Kompetenten Personen Beförderung ist hier rein GAR nichts zu sehen !! wie sagt man ? KEINE leistung KEIN geld !! Zug fahren sollte KOSTENLOS werden in diesem Zustand in der sich der Deutsche Gleisenverkehr befindet !!!!!!!!!,1 Bewertung,Bewertet mit 1 von 5 Sternen,Brizzle -,DE,,
Datum der Erfahrung: 05. September 2023,Erreichbarkeit und Klärung bei…,"Erreichbarkeit und Klärung bei Stornierung katastrophal. Nachdem ich versehentlich ein falsches Ticket gebucht habe, wollte ich dieses stornieren. Das war zunächst gar nicht möglich. Anschließend musste ich ein aktuelles Ticket kaufen. Nach einer Woche wurde dann mein aktuelles Ticket storniert und ich hatte keine Möglichkeit mehr über die App zu buchen und kam sozusagen nicht mehr vom Fleck. Weder auf meine Mails noch auf meine Einschreiben habe ich bis dato eine Rückinfo erhalten. Ganz zu schweigen davon, dass sämtliche Nummern nicht zu erreichen sind und mein Anliegen wohl überhaupt nicht zu klären ist.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Susanne Polczyk,DE,,
Datum der Erfahrung: 09. September 2023,Frankfurt-Heidelberg/Mannheim,"Frankfurt-Heidelberg/Mannheim: Nachdem monatelangen Baustelle mit SEV (der selten kam) war nun wieder Baustelle. 6 Züge sind ausgefallen am 09.09.23. Info: ICE freigegeben für Jobticket Inhaber (ja, ich zahle fürs Jobticket). Info im Zug: Nicht freigegeben, man muss Ticket kaufen, bar aber nicht möglich. Zug total überfüllt. Info an DB-Schaltern zur Rückerstattung nicht möglich (Schlange von mehr als 35 Leuten, wer tut sich das an).Rückfahrt am 10.09.23 erst 3 Stunden später möglich als geplant, da alle Züge ausgefallen sind (RBs, ICEs, ICs). Zug natürlich heillos überfüllt. Toiletten gesperrt. Stimmung mies.",6 Bewertungen,Bewertet mit 1 von 5 Sternen,Susanne Peters,DE,,
Datum der Erfahrung: 10. September 2023,Würde am liebsten 0 sterne geben,"Würde am liebsten 0 sterne gebendeutsche bahn ist wirklich einfach nur katastrophal.Hatten einen 12 stunden flug hinter uns,haben uns gefreut endlich heim zu kommen aber natürlich muss deutsche bahn alles vermasseln.Zug 3 stündige verspätung,jeder hier ist müde und möchte heim ich bin schockiert.",1 Bewertung,Bewertet mit 1 von 5 Sternen,ak.karina,DE,,
Datum der Erfahrung: 07. September 2023,"Das Desaster Unternehmen... wie das Land, so seine Logistik!","Heute: Bahnfahrt nach Berlin, Ticketpreis 380 Euro. Zug zurück ist wegen Überfüllung nicht losgefahren, nach 1 Stunde und gewaltsamer Entfernung der zu vielen Fahrgäste dann Start. Dann am nächsten Bahnhof: Einstig von Leuten die den vorangegangenen Zug wegen Überfüllung verlassen mussten und jetzt bei uns mit wollten. Gleiches Spiel,  wieder Stillstand. Wieder Bundespolizei, Weiterfahrt mit 2 Std Verspätung. Dann Meldung: Zug endet in Nürnberg, weil zwischen Nürnberg und München Oberleitungsstörung. Ankunft in Erfurt: Lokführer der nach München fahren sollte steigt aus, weil er mit der Verspätung seine Fahrzeiten überschritten hat. Kein Lokführer mehr da. Kein Ersatz verfügbar. Seit einer Stunde in Erfurt nun: Warten auf den Lokführer. Unfassbar!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Tobias Biehler,DE,,
Datum der Erfahrung: 12. September 2023,DB Hass,"Egal welchen Termin man einzuhalten hat, ob beruflich oder privat, wer mit DB fährt kann schonmal Entschuldigungsblumen oder -pralinen kaufen. Es ist keinerlei Verlass auf die deutsche Bahn und es ist mir auch ein Rätsel, weshalb es in Deutschland keinen echten Konkurrenten gibt, denn so hätte die DB zumindest ein Ansporn und müsste sich bessern. Die deutsche Bahn selbst hat pünktlich definiert, sodass in der Statistik selbst ein Zug bis 5 min Verspätung als pünktlich gilt. Nein DB auch ein Zug mit 5 min Verspätung ist unpünktlich. Fragwürdig wieso mal wieder in Deutschland ein Problem seit Jahren besteht und sich nichts ändert. Das Internet ist voll von schlechten Bewertungen und ich kenne auch niemanden der nur ein einziges gutes Wort über die DB fallen lässt. Das Laub liegt jedes Jahr auf den Gleisen und es ist jedes Jahr erneut eine Überraschung für die DB, denn präventiv dagegen vorgegangen wird nicht. Das ist dann eben so mit der Verspätung nh DB? Ist ja nicht so schlimm vom Staat wird man ja dennoch subventioniert und eine echt Konkurrenz gibt es auch nicht, also warum ändern?",1 Bewertung,Bewertet mit 1 von 5 Sternen,Marie B,DE,,
Datum der Erfahrung: 12. September 2023,Dieses Jahr ist besonders schlimm,"Dieses Jahr ist besonders schlimm. Nur Ausfälle, man kann sich gar nicht darauf verlassen. Ich will nicht wissen wie viel Zeit meines Lebens ich verwchwendet habe.Wirklich ganz schlimm, eine Katastrophe.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Diana,DE,,
Datum der Erfahrung: 09. September 2023,Kontrolleurin war sehr sehr…,Kontrolleurin war sehr sehr unfreundlich. Die erste klasse war komplett leer und der Rest des Zuges extrem voll bei hohen Temperaturen. Trotz leerer erster Klasse wurde i unfreundlich rausgeschmissen.,1 Bewertung,Bewertet mit 1 von 5 Sternen,Anja Michel,DE,,
Datum der Erfahrung: 27. August 2023,Zu kühl,"Diverse Verspätungen kann ich durchaus tolerieren. Was mir aber das Fahren verleidet sind die Klimaanlagen. Bin inzwischen durch Bahnfahren chronisch erkältet, was nun möglicherweise einige Operationen nachsichzieht. Es ist in den Zügen meistens zu kalt, bzw. die Klimaanlage bombardiert einen mit kalter Luft. Fällt dann einmal in einem Wagen die Klimaanlage aus, darf man ihn leider (auch auf eigenes Risiko hin) nicht benutzen. Ich denke, ich bin mit meinem Problem nicht allein. Werde wohl künftig das Bahnfahren einschränken müssen. Oder gibt es Abhilfe?",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Christoph Kukofka,DE,,
