date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 05. September 2023,Warum funktioniert es bei der Deutschen Bahn nicht mehr?,"Es kann doch nicht sein, dass man die letzten 20 Jahre keine Zugfahrt ohne Verspätung, ohne dass nicht irgend ein Defekt am Zug passiert, ohne Zugausfall, und noch Vieles mehr an Verhinderung einer reibungslosen Zugfahrt passiert!!!Armes Deutscland! Die DB samt der Nebenbuhler kann man mittlerweile schlechthin vergessen!Unternehmen doch endlich mal was für reibungslose Zugfahrten.Früher gings doch auch, vielleicht ein bisschen langsamer, aber dafür reibungslos und pünktlich!Jemand aus Südafrika, bei uns zu Besuch vor 25 Jahren, war damals als Eisenbahnfan völlig begeistert von der Pünktlichkeit und von den sekunden-geplsnten Abfahrten: Die Zeiten sind wohl längst vorbei?SCHADE DB!!!!!!!!",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Claudia Birke,DE,,
Datum der Erfahrung: 05. September 2023,Totaler Sch3iss,"Totaler Sch3iss, Bahnen fallen aus ohne das irgendwie darauf hingewiesen geschweigedenn sivh entschuldigt wird.0sterne. Gäbe es eine Alternative die für den doppelten preis besser laufen würde, würde ich diese auf jedenfall nehmen .",1 Bewertung,Bewertet mit 1 von 5 Sternen,Tom.,DE,,
Datum der Erfahrung: 06. September 2023,Verspätungen sind die Regel,"Man muss immer mit Verspätungen rechnen und muss sich dann meistens auch noch in einen überfüllten Zug mit zu wenig Wagen quetschen, damit man dann auch mal ankommt und nicht noch auf den nächsten verspäteten Zug warten muss",1 Bewertung,Bewertet mit 1 von 5 Sternen,Nik Weischer,DE,,
Datum der Erfahrung: 27. August 2023,Zu kühl,"Diverse Verspätungen kann ich durchaus tolerieren. Was mir aber das Fahren verleidet sind die Klimaanlagen. Bin inzwischen durch Bahnfahren chronisch erkältet, was nun möglicherweise einige Operationen nachsichzieht. Es ist in den Zügen meistens zu kalt, bzw. die Klimaanlage bombardiert einen mit kalter Luft. Fällt dann einmal in einem Wagen die Klimaanlage aus, darf man ihn leider (auch auf eigenes Risiko hin) nicht benutzen. Ich denke, ich bin mit meinem Problem nicht allein. Werde wohl künftig das Bahnfahren einschränken müssen. Oder gibt es Abhilfe?",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Christoph Kukofka,DE,,
Datum der Erfahrung: 04. September 2023,Verspätung und unzuverlässig,"Verspätung, Verspätung, Verspätung.Zug bleibt immer wieder eine ganz Weile stehen ohne Infos warum. Ankunftszeit wird aber logischerweise immer später..Wenn man frustfrei Zug fahren möchte kann man dies leider nur außerhalb von Deutschland. Schade.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Jeremias Katscher,DE,,
Datum der Erfahrung: 06. September 2023,HBF Stuttgart/ Verspätungen + Preiserhöhungen,"Am 05.09. Abends kostet meine Fahrt für den nächsten Tag noch 17,90. Am nächsten Tag morgens schon 22,90. 2 Stunden später am HBF am Automaten kostet die Fahrt schon 30 euro plus 1 h Verspätung. PS: während ich auf den Zug warte pausenlose Durchsagen wegen Verspätung, Gleiswechsel, etc. Eine nach der anderen, ohne pause. Wahnsinn!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Mykola Mahony,DE,,
Datum der Erfahrung: 06. September 2023,Entwicklungsland Deutschland,Wie kann es sein das bei einem Oberleitungsschaden (heute 06.09.2023) im Raum Dortmund Hbf ein Zug (RE5) der von Oberhausen nach Koblenz fährt einfach ausfällt? Einfach nur zum k o t z e n. Die Züge sind einfach von der Anzeige verschwunden und auf Durchsagen wurde am Bahnhof Duisburg direkt verzichtet. Eigentlich 0 Sterne wert.,1 Bewertung,Bewertet mit 1 von 5 Sternen,Oliver Julien Loos,DE,,
Datum der Erfahrung: 01. September 2023,Ansich finde ich die bahnen super…,Ansich finde ich die bahnen super vorallem jetzt mit dem kostenlosem wlan und den steck Dosen.. würde der Zug nicht immer so kalt sein bei diesen Außentemperaturen in Bayern und jetzt wo für viele die Ausbildungen und Schulen wieder anfangen nicht zu spät kommen würde würde ich ihnen probleme 5 Sterne geben. :(,1 Bewertung,Bewertet mit 4 von 5 Sternen,Celina,DE,,
Datum der Erfahrung: 02. September 2023,Ich hätte 2 Stunden brauchen sollen,"Ich hätte 2 Stunden brauchen sollen. Am Ende bin ich 6 Stunden gefahren. 6 Stunden !! Und das Beste, auf der Rückfahrt am nächsten Tag genau das gleiche !Aufgrund dessen, fange ich jetzt meinen Führerschein an. Umweltfreundlich Reisen ist in Deutschland halt leider keine Option.",3 Bewertungen,Bewertet mit 1 von 5 Sternen,Libellchen Honig,DE,,
Datum der Erfahrung: 03. September 2023,"Irgendwann wird es bestimmt besser, aber die Tage werde ich bestimmt nicht mehr sehen",Einfach nur ein lächerliches Unternehmen! Bitte nehmen Sie das ‘Deutsche’ aus dem Namen; das schadet dem verbleibenden Ansehen Deutschlands!,4 Bewertungen,Bewertet mit 1 von 5 Sternen,HB,DE,,
Datum der Erfahrung: 30. August 2023,Leute behaltet bloß euer Auto,"Leute behaltet bloß euer Auto. So unzuverlässig wie die DB ist, geht gar nicht. Ich fahre wenig, aber jedes Mal gibt es Probleme. Am gleichen Tag fuhren mehrere Züge, ohne Hinweis, einfach nicht nach Düsseldorf. Mir ist aufgefallen, dass plötzlich vermehrt ICE und Co. Dafür fahren. ( Geldmache!? Damit Deutschlandticketbesitzer so drauf zahlen?) Ich bin gegen 9 Uhr los und kam nicht zu neinem Gerichtstermin um 11 Uhr an. Die S11 fuhr dann Alternativ gegen 10:30 Uhr aber wäre erst gegen 12 angekommen. Somit kam ich gar nicht an. Wie sieht das aus? Sonst auch mega Wartezeiten, ich komme nie zu meinen Terminen rechtzeitig an! Was soll das? Es muss unbedingt zuverlässiger werden doer eine Alternative her.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Tina,DE,,
Datum der Erfahrung: 04. September 2023,Unzuverlässig,"Nur Verspätungen, teilweise hat man das Gefühl das schon Ausreden genutzt werden. Von ein auf die andere Minute ist es ein anderer Grund für die Verspätung..",1 Bewertung,Bewertet mit 1 von 5 Sternen,Lena Heuer,DE,,
Datum der Erfahrung: 29. August 2023,"Alles schief gelaufen, was schief laufen konnte.","Haben heute versucht, von Aachen zurück nach Stade zu reisen... Relativ kurz vor Abreisebeginn wurde ich darüber benachrichtigt, dass in Aachen alle Bahnen nach Köln, wo wir unseren gebuchten ICE nehmen wollten, leider ausfallen. Hingen dann auf unserem Alternativweg nach Köln eine halbe Stunde lang irgendwo in Rheydt fest, weil es Reparaturen an einer Bahn gab und haben dadurch den ICE verpasst. Der Alternativ-ICE fuhr dann durch einen Fehler von wem auch immer erst in die falsche Richtung, wodurch wir dann auch noch unseren Anschlusszug in Harburg Richtung Stade verpasst haben. Kann man sich nicht ausdenken. Werden 1,5 Stunden später als geplant zu Hause ankommen. Für dieses Erlebnis sind außerdem die Bahnpreise unverschämt.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Julia,DE,,
Datum der Erfahrung: 31. August 2023,Unglaublich aber war,"Unglaublich aber war . Job Ticket als Deutschland Ticket bestellt. Eine Bestellbestätigung habe ich nie erhalten, das Geld wurde jedoch vom Konto ab gezogen. Jetzt kommt es noch besser ….keine Rufnummer die gewählt wird kann einem helfen nichtmal die Kunden Hotline des Deutschland Tickets. Man kann den Auftrag sehen jedoch kann man nichts machen …auch nicht stornieren also eine wohl gemerkt nie erhaltene Bestellbestätigung des Tickets zum vorweisen bei der Kontrolle. Die deutsche Bahn bucht weiter vom Konto ab trotz Einzug der einzugsermachtigung !!!!  gehts noch ?! Es ist alles detaiert und dennoch reagiert keiner. Mir wurde gesagt ich muss via Mail kundigen, also das was ich seit dem 3.8.23 versuche !",15 Bewertungen,Bewertet mit 1 von 5 Sternen,Uthanda Ubomi,DE,,
